focalMethod,X,ReabilityScore,,usabilityScore,,Y,ReabilityScore,,usabilityScore,,Z,ReabilityScore,,usabilityScore,
,, Naming Intuitiveness,Code Layout,Assertion Quality,Adoption Efforts,, Naming Intuitiveness,Code Layout,Assertion Quality,Adoption Efforts,, Naming Intuitiveness,Code Layout,Assertion Quality,Adoption Efforts
"public AttributeInfo addAttributeInfo(Class<?> type, JsonBeanAttribute detail) {
    AttributeInfo attrMapping = new AttributeInfo(type, detail);
    attrInfos.add(attrMapping);
    return attrMapping;
}","@Test public void testAddAttributeInfo() throws Exception { AttributeInfo attrInfo = TypeInfo.addAttributeInfo(TestBeanAttribute.class, new JsonBeanAttribute(TestBeanAttribute.class)); Assert.assertEquals(TestBeanAttribute.class, attrInfo.getType()); Assert.assertEquals(TestBeanAttribute.class, attrInfo.getType()); Assert.assertEquals(TestBeanAttribute.class, attrInfo.getType()); Assert.assertEquals(TestBeanAttribute.class, attrInfo.getType()); Assert.assertEquals(TestBeanAttribute.class, attrInfo.getType()); Assert.assertEquals(TestBeanAttribute.class, attrInfo.getType()); Assert.assertEquals(TestBeanAttribute.class, attrInfo.getType()); Assert.assertEquals(TestBeanAttribute.class, attrInfo.getType()); Assert.assertEquals(TestBeanAttribute.class, attrInfo.getType()); Assert.assertEquals(TestBeanAttribute.class, attrInfo.getType()); Assert.assertEquals(TestBeanAttribute.class, attrInfo.getType()); Assert.assertEquals(TestBeanAttribute.class, attrInfo.getType()); Assert.assertEquals(TestBeanAttribute.class, attrInfo.getType()); Assert.assertEquals(TestBeanAttribute.class, attrInfo.getType()); Assert.assertEquals(TestBeanAttribute.class, attrInfo.getType()); Assert.assertEquals(TestBeanAttribute.class, attrInfo.getType()); Assert.assertEquals(TestBeanAttribute.class, attrInfo.getType()); Assert.assertEquals(TestBeanAttribute.class, attrInfo.getType()); Assert.assertEquals(TestBeanAttribute.class, attrInfo.getType()); Assert.assertEquals(TestBeanAttribute.class, attrInfo.getType()); Assert.assertEquals(TestBeanAttribute.class, attrInfo.getType()); Assert.assertEquals(TestBeanAttribute.class, attrInfo.getType()); Assert.assertEquals(TestBeanAttribute.class, attrInfo.getType()); Assert.assertEquals(TestBeanAttribute.class, attrInfo.getType()); Assert.assertEquals(TestBeanAttribute.class, attrInfo.getType()); Assert.assertEquals(TestBeanAttribute.class, attrInfo.getType()); Assert.assertEquals(TestBeanAttribute.class, attrInfo.getType()); }
",2,1,2,1,"@Test(timeout = 4000)
public void test04() throws Throwable {
    Class<Object> class0 = Object.class;
    JsonReaderCodeGenerator.TypeInfo jsonReaderCodeGenerator_TypeInfo0 = new JsonReaderCodeGenerator.TypeInfo(class0);
    JsonReaderCodeGenerator.AttributeInfo jsonReaderCodeGenerator_AttributeInfo0 = jsonReaderCodeGenerator_TypeInfo0.addAttributeInfo(class0, (JsonBeanAttribute) null);
    jsonReaderCodeGenerator_AttributeInfo0.getDetail();
    assertEquals(0, jsonReaderCodeGenerator_AttributeInfo0.getArrayType());
}",2,2,3,3,"@Test(timeout = 4000)
public void testAddAttributeInfo() throws Throwable {
    // Create a TypeInfo object with Object class
    Class<Object> class0 = Object.class;
    JsonReaderCodeGenerator.TypeInfo jsonReaderCodeGenerator_TypeInfo0 = new JsonReaderCodeGenerator.TypeInfo(class0);
    
    // Create a JsonBeanAttribute object (or use null if not needed)
    JsonBeanAttribute detail = null;
    
    // Call the addAttributeInfo method and store the returned AttributeInfo object
    JsonReaderCodeGenerator.AttributeInfo jsonReaderCodeGenerator_AttributeInfo0 = jsonReaderCodeGenerator_TypeInfo0.addAttributeInfo(class0, detail);
    
    // Get the detail from the AttributeInfo object
    jsonReaderCodeGenerator_AttributeInfo0.getDetail();
    
    // Assert that the arrayType of the AttributeInfo object is 0
    assertEquals(0, jsonReaderCodeGenerator_AttributeInfo0.getArrayType());
}",3,3,3,3
"public JsonBeanAttribute getDetail() {
    return detail;
}","@Test public void testGetDetail() throws Exception { JsonBeanAttribute detail = AttributeInfo.getDetail(); assertEquals(detail, detail); }
",3,2,2,3,"@Test(timeout = 4000)
public void test04() throws Throwable {
    Class<Object> class0 = Object.class;
    JsonReaderCodeGenerator.TypeInfo jsonReaderCodeGenerator_TypeInfo0 = new JsonReaderCodeGenerator.TypeInfo(class0);
    JsonReaderCodeGenerator.AttributeInfo jsonReaderCodeGenerator_AttributeInfo0 = jsonReaderCodeGenerator_TypeInfo0.addAttributeInfo(class0, (JsonBeanAttribute) null);
    jsonReaderCodeGenerator_AttributeInfo0.getDetail();
    assertEquals(0, jsonReaderCodeGenerator_AttributeInfo0.getArrayType());
}",3,2,2,2,"@Test(timeout = 4000)
public void testAddAttributeInfo() throws Throwable {
    // Create a TypeInfo object with Object class
    Class<Object> class0 = Object.class;
    JsonReaderCodeGenerator.TypeInfo jsonReaderCodeGenerator_TypeInfo0 = new JsonReaderCodeGenerator.TypeInfo(class0);
    
    // Create a JsonBeanAttribute object (or use null if not needed)
    JsonBeanAttribute detail = null;
    
    // Call the addAttributeInfo method and store the returned AttributeInfo object
    JsonReaderCodeGenerator.AttributeInfo jsonReaderCodeGenerator_AttributeInfo0 = jsonReaderCodeGenerator_TypeInfo0.addAttributeInfo(class0, detail);
    
    // Get the detail from the AttributeInfo object
    jsonReaderCodeGenerator_AttributeInfo0.getDetail();
    
    // Assert that the arrayType of the AttributeInfo object is 0
    assertEquals(0, jsonReaderCodeGenerator_AttributeInfo0.getArrayType());
}",3,2,3,2
"public int getArrayType() {
    return arrayType;
}","@Test public void testGetArrayType() throws Exception { AttributeInfo attrInfo = new AttributeInfo(); assertEquals(1, attrInfo.getArrayType()); }
",3,3,2,2,"@Test(timeout = 4000)
public void test04() throws Throwable {
    Class<Object> class0 = Object.class;
    JsonReaderCodeGenerator.TypeInfo jsonReaderCodeGenerator_TypeInfo0 = new JsonReaderCodeGenerator.TypeInfo(class0);
    JsonReaderCodeGenerator.AttributeInfo jsonReaderCodeGenerator_AttributeInfo0 = jsonReaderCodeGenerator_TypeInfo0.addAttributeInfo(class0, (JsonBeanAttribute) null);
    jsonReaderCodeGenerator_AttributeInfo0.getDetail();
    assertEquals(0, jsonReaderCodeGenerator_AttributeInfo0.getArrayType());
}",2,2,2,2,"@Test
public void testGetArrayType() {
    JsonReaderCodeGenerator.TypeInfo jsonReaderCodeGenerator_TypeInfo0 = new JsonReaderCodeGenerator.TypeInfo(Object.class);
    JsonReaderCodeGenerator.AttributeInfo jsonReaderCodeGenerator_AttributeInfo0 = jsonReaderCodeGenerator_TypeInfo0.addAttributeInfo(Object.class, (JsonBeanAttribute) null);
    jsonReaderCodeGenerator_AttributeInfo0.getDetail();

    int expected = 0;
    int actual = jsonReaderCodeGenerator_AttributeInfo0.getArrayType();
    assertEquals(expected, actual);
}",3,2,2,2
"public Class<?> getType() {
    return type;
}","@Test public void testGetType() throws Exception { TypeInfo typeInfo = new TypeInfo(); assertEquals(TypeInfo.class, typeInfo.getType()); }
",3,3,2,2,"@Test(timeout = 4000)
public void test05() throws Throwable {
    Class<JsonReaderInvoker> class0 = JsonReaderInvoker.class;
    JsonReaderCodeGenerator.TypeInfo jsonReaderCodeGenerator_TypeInfo0 = new JsonReaderCodeGenerator.TypeInfo(class0);
    Class<?> class1 = jsonReaderCodeGenerator_TypeInfo0.getType();
    assertFalse(class1.isArray());
}",2,2,2,2,"@Test
public void testGetType() {
    Class<JsonReaderInvoker> class0 = JsonReaderInvoker.class;
    JsonReaderCodeGenerator.TypeInfo jsonReaderCodeGenerator_TypeInfo0 = new JsonReaderCodeGenerator.TypeInfo(class0);
    Class<?> class1 = jsonReaderCodeGenerator_TypeInfo0.getType();
    Class<?> expectedType = JsonReaderInvoker.class;
    Class<?> actualType = class1;
    assertEquals(expectedType, actualType);
}",2,2,2,2
"public Class<?> getAttributeType() {
    return attrType;
}","@Test public void testGetAttributeType() throws Exception { assertEquals(AttributeInfo.getAttributeType(), AttributeInfoTest.class); }
",3,3,2,2,"@Test(timeout = 4000)
public void test06() throws Throwable {
    Class<Object> class0 = Object.class;
    JsonReaderCodeGenerator.TypeInfo jsonReaderCodeGenerator_TypeInfo0 = new JsonReaderCodeGenerator.TypeInfo(class0);
    JsonBeanAttribute jsonBeanAttribute0 = new JsonBeanAttribute();
    JsonReaderCodeGenerator.AttributeInfo jsonReaderCodeGenerator_AttributeInfo0 = jsonReaderCodeGenerator_TypeInfo0.addAttributeInfo(class0, jsonBeanAttribute0);
    jsonReaderCodeGenerator_AttributeInfo0.getAttributeType();
    assertEquals(0, jsonReaderCodeGenerator_AttributeInfo0.getArrayType());
}",3,2,2,2,"@Test
public void testGetAttributeType() {
    JsonReaderCodeGenerator.TypeInfo jsonReaderCodeGenerator_TypeInfo0 = new JsonReaderCodeGenerator.TypeInfo(Object.class);
    JsonBeanAttribute jsonBeanAttribute0 = new JsonBeanAttribute();
    JsonReaderCodeGenerator.AttributeInfo jsonReaderCodeGenerator_AttributeInfo0 = jsonReaderCodeGenerator_TypeInfo0.addAttributeInfo(Object.class, jsonBeanAttribute0);
    Class<?> expectedType = Object.class;
    Class<?> actualType = jsonReaderCodeGenerator_AttributeInfo0.getAttributeType();
    assertEquals(expectedType, actualType);
}",3,2,2,2
"public String getPath() {
    return path;
}","@Test public void testGetPath() throws Exception { assertEquals(""/foo/bar"", PathAndCode.getPath()); }
",3,3,2,2,"@Test(timeout = 4000)
public void test07() throws Throwable {
    JsonReaderCodeGenerator.PathAndCode jsonReaderCodeGenerator_PathAndCode0 = new JsonReaderCodeGenerator.PathAndCode("")S+2Mz5"", "")S+2Mz5"");
    String string0 = jsonReaderCodeGenerator_PathAndCode0.getPath();
    assertEquals("")S+2Mz5"", string0);
}",3,3,3,3,"@Test
public void testGetPath() {
    // Create a new instance of PathAndCode
    JsonReaderCodeGenerator.PathAndCode pathAndCode = new JsonReaderCodeGenerator.PathAndCode("")S+2Mz5"", "")S+2Mz5"");

    // Call the getPath() method
    String result = pathAndCode.getPath();

    // Assert that the result is equal to the expected path value
    assertEquals("")S+2Mz5"", result);
}",3,3,3,3
"public List<AttributeInfo> getAttributeInfos() {
    return attrInfos;
}","@Test public void testGetAttributeInfos() throws Exception { List<AttributeInfo> attrInfos = TypeInfo.getAttributeInfos(); assertEquals(0, attrInfos.size()); }
",3,3,2,2,"@Test(timeout = 4000)
public void test08() throws Throwable {
    Class<Object> class0 = Object.class;
    JsonReaderCodeGenerator.TypeInfo jsonReaderCodeGenerator_TypeInfo0 = new JsonReaderCodeGenerator.TypeInfo(class0);
    List<JsonReaderCodeGenerator.AttributeInfo> list0 = jsonReaderCodeGenerator_TypeInfo0.getAttributeInfos();
    assertTrue(list0.isEmpty());
}",3,3,3,3,"@Test
public void testGetAttributeInfos() {
    Class<Object> class0 = Object.class;
    JsonReaderCodeGenerator.TypeInfo jsonReaderCodeGenerator_TypeInfo0 = new JsonReaderCodeGenerator.TypeInfo(class0);
    List<JsonReaderCodeGenerator.AttributeInfo> list0 = jsonReaderCodeGenerator_TypeInfo0.getAttributeInfos();
    assertNotNull(list0);
    assertEquals(0, list0.size());
}",3,3,3,3
"public String getCode() {
    return code;
}","@Test public void testGetCode() throws Exception { String code = JsonReaderCodeGenerator.getCode(); Assert.assertEquals(""{\\""code\\"":\\""1\\""}"", code); }
",3,3,2,2,"@Test(timeout = 4000)
public void test10() throws Throwable {
    JsonReaderCodeGenerator.PathAndCode jsonReaderCodeGenerator_PathAndCode0 = new JsonReaderCodeGenerator.PathAndCode(""OBJECT"", ""OBJECT"");
    String string0 = jsonReaderCodeGenerator_PathAndCode0.getCode();
    assertEquals(""OBJECT"", string0);
}",3,3,3,3,"    @Test
    public void testGetCode() {

        JsonReaderCodeGenerator.PathAndCode jsonReaderCodeGenerator_PathAndCode0 = new JsonReaderCodeGenerator.PathAndCode(""OBJECT"", ""OBJECT"");
        String string0 = jsonReaderCodeGenerator_PathAndCode0.getCode();
        assertEquals(""OBJECT"", string0);

        String code = string0;
        assertNotNull(code);
        assertTrue(code instanceof String);
    }",3,3,3,3
"@Override
public boolean equals(Object obj) {
    if (this == obj)
        return true;
    if (obj == null)
        return false;
    if (getClass() != obj.getClass())
        return false;
    PathAndCode other = (PathAndCode) obj;
    if (path == null) {
        if (other.path != null)
            return false;
    } else if (!path.equals(other.path))
        return false;
    return true;
}","@Test public void testEquals() throws Exception { PathAndCode pathAndCode = new PathAndCode(); assertTrue(pathAndCode.equals(pathAndCode)); }
",3,3,3,3,"@Test(timeout = 4000)
public void test11() throws Throwable {
    JsonReaderCodeGenerator.PathAndCode jsonReaderCodeGenerator_PathAndCode0 = new JsonReaderCodeGenerator.PathAndCode(""OBJECT"", ""OBJECT"");
    JsonReaderCodeGenerator.PathAndCode jsonReaderCodeGenerator_PathAndCode1 = new JsonReaderCodeGenerator.PathAndCode("""", ""D]#&Gx<^@=`"");
    boolean boolean0 = jsonReaderCodeGenerator_PathAndCode0.equals(jsonReaderCodeGenerator_PathAndCode1);
    assertFalse(boolean0);
    assertEquals(""D]#&Gx<^@=`"", jsonReaderCodeGenerator_PathAndCode1.getCode());
    assertEquals("""", jsonReaderCodeGenerator_PathAndCode1.getPath());
}",2,2,2,2,"@Test
public void testEquals() {
    JsonReaderCodeGenerator.PathAndCode pathAndCode1 = new JsonReaderCodeGenerator.PathAndCode(""path"", null);

    JsonReaderCodeGenerator.PathAndCode pathAndCode2 = new JsonReaderCodeGenerator.PathAndCode(""path"", null);
    assertTrue(pathAndCode1.equals(pathAndCode1));
    assertTrue(pathAndCode1.equals(pathAndCode2));
    JsonReaderCodeGenerator.PathAndCode pathAndCode3 = new JsonReaderCodeGenerator.PathAndCode(""differentPath"", null);
    assertFalse(pathAndCode1.equals(pathAndCode3));
    assertFalse(pathAndCode1.equals(null));
    assertFalse(pathAndCode1.equals(""path""));
    JsonReaderCodeGenerator.PathAndCode pathAndCode4 = new JsonReaderCodeGenerator.PathAndCode(null, null);
    assertFalse(pathAndCode1.equals(pathAndCode4));
}",2,2,2,2
